"lorde::lewd";"wei::lewd"
"cornelius_agrippa::curtesie";"cornelius_agrippa::kinde"
"cornelius_agrippa::curtesie";"cornelius_agrippa::violent"
"cornelius_agrippa::eloquently";"cornelius_agrippa::gentleman"
"cornelius_agrippa::eloquently";"cornelius_agrippa::kinde"
"cornelius_agrippa::eloquently";"cornelius_agrippa::violent"
"cornelius_agrippa::gentleman";"cornelius_agrippa::kinde"
"cornelius_agrippa::gentleman";"cornelius_agrippa::violent"
"cornelius_agrippa::kinde";"cornelius_agrippa::violent"
"lucrecia::curtizans";"tabitha::curtizans"
"frego::sullenly";"tabitha::sullenly"
"tabitha::roughly";"tabitha::thorough"
"frego::mildly";"tabitha::mildly"
"golde::ingenious";"phao::ingenious"
"golde::clownish";"golde::dull"
"golde::clownish";"golde::mercifull"
"golde::clownish";"golde::milde"
"golde::clownish";"phao::clownish"
"golde::clownish";"phao::dull"
"golde::clownish";"phao::mercifull"
"golde::clownish";"phao::milde"
"golde::dull";"golde::mercifull"
"golde::dull";"golde::milde"
"golde::dull";"phao::clownish"
"golde::dull";"phao::dull"
"golde::dull";"phao::mercifull"
"golde::dull";"phao::milde"
"golde::mercifull";"golde::milde"
"golde::mercifull";"phao::clownish"
"golde::mercifull";"phao::dull"
"golde::mercifull";"phao::mercifull"
"golde::mercifull";"phao::milde"
"golde::milde";"phao::clownish"
"golde::milde";"phao::dull"
"golde::milde";"phao::mercifull"
"golde::milde";"phao::milde"
"phao::clownish";"phao::dull"
"phao::clownish";"phao::mercifull"
"phao::clownish";"phao::milde"
"phao::dull";"phao::mercifull"
"phao::dull";"phao::milde"
"phao::mercifull";"phao::milde"
"geraldine::curious";"geraldine::passionate"
"dole::cruell";"sucke::cruell"
"cicely::complaine";"cicely::hereticall"
"henrie::gentleman";"iohn_russell::gentleman"
"anthonie::curtizan";"cleopatra::curtizan"
"anthonie::question";"cleopatra::question"
"esdras::sensualitie";"granado::sensualitie"
"hermannus_buschius::naturall";"tully::naturall"
"gulph::direct";"gulph::profoundly"
"zacharie::carefully";"zadoch::carefully"
"zacharie::gallant";"zacharie::thoroughly"
"marques::curtizan";"zacharie::curtizan"
"marques::curtizan";"zadoch::curtizan"
"zacharie::curtizan";"zadoch::curtizan"
"zacharie::gracious";"zadoch::gracious"
"diamante::deliberating";"diamante::opportunitie"
"diamante::deliberating";"diamante::thorough"
"diamante::opportunitie";"diamante::thorough"
"iuliana::informed";"zachary::informed"
"peters::solemnitie";"saint::solemnitie"
"bartoll::curtizan";"esdras::curtizan"
"bartoll::curtizan";"granado::curtizan"
"esdras::curtizan";"granado::curtizan"
"bartoll::#-naturall";"esdras::#-naturall"
"bartoll::#-naturall";"granado::#-naturall"
"esdras::#-naturall";"granado::#-naturall"
